"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"DSC2",0.559602819273173,0.131187346379245,0.0405656393191818,0.0780490218623309,40
"CTSD",0.562726545790917,0.131160133302824,0.040538426242761,0.0843273078055522,41
"ANXA1",0.554185931021739,0.131094663613244,0.0404729565531806,0.0727212333592716,42
"SARAF",0.559074040567749,0.131085583978085,0.0404638769180214,0.0797217603606297,43
"CD44",0.559942827005496,0.13091868129653,0.0402969742364672,0.0698669083731402,44
"CALM1",0.556038993786094,0.130481397140214,0.0398596900801503,0.0733773819894131,45
"BGN",0.555044268374304,0.130374161815548,0.0397524547554848,0.0672513199591531,46
"CXCL2",0.554180981455074,0.130084564147802,0.0394628570877391,0.0758362192646287,47
"RTN4",0.549470506357168,0.129850576962719,0.0392288699026556,0.0781391005468854,48
"C3",0.560832786589535,0.129791250462532,0.0391695434024692,0.0669132809382702,49
"S100A8",0.560301533100776,0.129787513024674,0.0391658059646109,0.0746912911850909,50
"COL6A3",0.557790452945846,0.129719645074546,0.039097938014483,0.0747827728484627,51
"HLA-A",0.547987286213092,0.129674251666649,0.039052544606586,0.0759463580594781,52
"SIRPA",0.552046893294493,0.129615156949587,0.0389934498895236,0.0763418302891512,53
"VCAN",0.557757043370852,0.129607847073333,0.0389861400132694,0.0712007657111185,54
"LUM",0.548816338629553,0.1295260368025,0.0389043297424365,0.0718148546404926,55
"EZR",0.550892406869779,0.129351441241272,0.0387297341812092,0.0535166538669392,56
"CD14",0.553342717345097,0.129239761376874,0.0386180543168106,0.0654445321944833,57
"LAMB2",0.551755831276973,0.129001696609245,0.0383799895491816,0.0723907625150052,58
"ITGAM",0.554590008144788,0.128978722143588,0.0383570150835246,0.0771275711587861,59
"GNAS",0.551688462175136,0.128970557280004,0.0383488502199405,0.0503167819922671,60
"KIAA0319L",0.555012508654867,0.128933073656342,0.0383113665962788,0.0741075233336956,61
"SIRPB2",0.545570660288692,0.128749911305904,0.0381282042458405,0.0693811682414348,62
"CALM3",0.554693674068835,0.128722942627664,0.0381012355676004,0.0701662959133556,63
"COL14A1",0.553460956993214,0.128719205505465,0.0380974984454022,0.0730337018118221,64
"TGFBI",0.545073366326778,0.128679083394954,0.0380573763348912,0.0651847168148853,65
"LAMA4",0.570287558824226,0.12847600403405,0.0378542969739871,0.0803708390175788,66
"MSN",0.550668301490204,0.128430266575901,0.0378085595158376,0.0696656725440399,67
"LILRB2",0.552319394437017,0.128228551975229,0.0376068449151654,0.0725453447263989,68
"APOE",0.553913979831066,0.128203409548662,0.0375817024885992,0.0533894356570468,69
"COL18A1",0.543168195624474,0.128090464546758,0.0374687574866952,0.0624839641960098,70
"F11R",0.548209466761185,0.128025895164828,0.0374041881047651,0.0569942431714198,71
"S100A9",0.547417123630825,0.127952773788045,0.0373310667279818,0.0632412809466045,72
"CLU",0.549711522756183,0.1277279908455,0.037106283785437,0.0694730632565787,73
"PTPRC",0.541062567472218,0.127710757447256,0.0370890503871927,0.0684447639799261,74
"GAS6",0.557052417560844,0.127707715314116,0.0370860082540528,0.0768654485910832,75
"MDK",0.534889770400602,0.127678753747938,0.0370570466878743,0.0541896221438275,76
"ADAM9",0.556499028510054,0.127622834929845,0.0370011278697822,0.0602305162034952,77
"CD99",0.555092114185403,0.127571981356896,0.0369502742968331,0.0385603999102156,78
"HLA-DMA",0.548132748477871,0.127506361515098,0.0368846544550345,0.0698184712654204,79
"THBS2",0.557885869592118,0.127483271358977,0.0368615642989135,0.0627332702787851,80
"S100A4",0.563744369180478,0.127460900870636,0.0368391938105732,0.071172891585372,81
"FN1",0.556168507447172,0.127412152763986,0.0367904457039232,0.0612537311085342,82
"IL16",0.542693587176443,0.127366326330579,0.036744619270516,0.0676039713817266,83
"SEMA4D",0.536567673500186,0.127173635822622,0.0365519287625586,0.0627138960196526,84
"COL6A2",0.549055017733198,0.127034547151314,0.0364128400912512,0.0683942619945604,85
"TCTN1",0.550180631685697,0.126962987170018,0.0363412801099544,0.0683812436653283,86
"COL3A1",0.561043968100592,0.126540190521876,0.0359184834618132,0.0729803733543881,87
"B2M",0.546990360993894,0.126508854637215,0.0358871475771514,0.0601092607302684,88
"CXCL12",0.56026083666375,0.126393000231536,0.0357712931714726,0.07013907611368,89
"LAMB1",0.547263137112346,0.126355733198649,0.035734026138586,0.0663840077544392,90
"COL8A1",0.54505233066845,0.126308105067096,0.0356863980070331,0.0515143076409012,91
"THY1",0.552262886884253,0.126274918834945,0.035653211774882,0.0637463142882598,92
"FBN1",0.547649753264102,0.125934773136752,0.0353130660766889,0.0581806337648916,93
"LGALS3BP",0.551854272658429,0.125924851409958,0.0353031443498946,0.0599055010102578,94
"ANXA2",0.559084214677006,0.125910966380749,0.0352892593206861,0.0600667696931861,95
"PROS1",0.547562585895604,0.125909423706208,0.0352877166461451,0.0579656332075614,96
"FAM3C",0.551029757344745,0.125866946487017,0.0352452394269533,0.057414353241801,97
"HLA-DRA",0.533986886948047,0.125826463665953,0.0352047566058895,0.0662170392638448,98
"CALM2",0.5501057007459,0.125795469040948,0.0351737619808851,0.0475336456533209,99
"ITGB2",0.547178169551256,0.12522165434529,0.034599947285227,0.0633221919552172,100
"COL4A1",0.55644059612581,0.125001208693135,0.034379501633072,0.056922261840481,101
"HGF",0.540045981474322,0.124752237555406,0.0341305304953428,0.0761522692967965,102
"TNFSF10",0.546307320794064,0.124717364461612,0.0340956574015489,0.0692456104513526,103
